roomNumber;dayOfWeek;block;capacity;floor;resourceId;detailCodes
R-001;friday;A;35;;R-001_friday_A;AUDA,DATA,DELT,TMAN,TMSU
R-001;monday;A;35;;R-001_monday_A;AUDA,DATA,DELT,TMAN,TMSU
R-001;saturday;A;35;;R-001_saturday_A;AUDA,DATA,DELT,TMAN,TMSU
R-001;sunday;A;35;;R-001_sunday_A;AUDA,DATA,DELT,TMAN,TMSU
R-001;thursday;A;35;;R-001_thursday_A;AUDA,DATA,DELT,TMAN,TMSU
R-001;tuesday;A;35;;R-001_tuesday_A;AUDA,DATA,DELT,TMAN,TMSU
R-001;wednesday;A;35;;R-001_wednesday_A;AUDA,DATA,DELT,TMAN,TMSU
R-001;friday;B;35;;R-001_friday_B;AUDA,DATA,DELT,TMAN,TMSU
R-001;monday;B;35;;R-001_monday_B;AUDA,DATA,DELT,TMAN,TMSU
R-001;sunday;B;35;;R-001_sunday_B;AUDA,DATA,DELT,TMAN,TMSU
R-001;thursday;B;35;;R-001_thursday_B;AUDA,DATA,DELT,TMAN,TMSU
R-001;tuesday;B;35;;R-001_tuesday_B;AUDA,DATA,DELT,TMAN,TMSU
R-001;wednesday;B;35;PISO01;R-001_wednesday_B;AUDA,DATA,DELT,TMAN,TMSU
R-001;friday;C;35;;R-001_friday_C;AUDA,DATA,DELT,TMAN,TMSU
R-001;monday;C;35;;R-001_monday_C;AUDA,DATA,DELT,TMAN,TMSU
R-001;sunday;C;35;;R-001_sunday_C;AUDA,DATA,DELT,TMAN,TMSU
R-001;tuesday;C;35;;R-001_tuesday_C;AUDA,DATA,DELT,TMAN,TMSU
R-001;wednesday;C;35;;R-001_wednesday_C;AUDA,DATA,DELT,TMAN,TMSU
R-001;monday;D;35;;R-001_monday_D;AUDA,DATA,DELT,TMAN,TMSU
R-001;saturday;D;35;;R-001_saturday_D;AUDA,DATA,DELT,TMAN,TMSU
R-001;sunday;D;35;;R-001_sunday_D;AUDA,DATA,DELT,TMAN,TMSU
R-001;thursday;D;35;;R-001_thursday_D;AUDA,DATA,DELT,TMAN,TMSU
R-001;tuesday;D;35;;R-001_tuesday_D;AUDA,DATA,DELT,TMAN,TMSU
R-001;wednesday;D;35;;R-001_wednesday_D;AUDA,DATA,DELT,TMAN,TMSU
R-001;monday;E;35;;R-001_monday_E;AUDA,DATA,DELT,TMAN,TMSU
R-001;saturday;E;35;;R-001_saturday_E;AUDA,DATA,DELT,TMAN,TMSU
R-001;sunday;E;35;;R-001_sunday_E;AUDA,DATA,DELT,TMAN,TMSU
