termCode;crn;subjCode;crseNumb;title;campus;seats;semester;programsAmount;block;beginTime;endTime;startDate;endDate;monday;tuesday;wednesday;thursday;friday;saturday;sunday;requiredFloor;specialRequirement;crossList;crossListSeats
202520;20016;DAAD;00200;Administracion;A;40;02;1;C;1140;1310;18-08-2025;19-12-2025;;;;;Y;;;;;;
202520;20016;DAAD;00200;Administracion;A;40;02;1;C;1140;1310;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20057;DACF;00204;Biofisica;A;76;02;1;F;1800;1930;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20058;DACF;00201;Biología;A;66;02;1;A;0810;0940;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20058;DACF;00201;Biología;A;66;02;1;E;1615;1745;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20061;DACF;00201;Biología;A;33;02;1;C;1140;1310;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20069;DAEC;00401;Macroeconomia Ii;A;55;04;1;A;0810;0940;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20069;DAEC;00401;Macroeconomia Ii;A;55;04;1;A;0810;0940;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20072;DAEC;00201;Estadistica I;A;50;02;3;E;1615;1745;18-08-2025;19-12-2025;;;Y;;;;;;;;
202520;20072;DAEC;00201;Estadistica I;A;50;02;3;E;1615;1745;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20074;DAEC;00600;Organizacion Industrial;A;45;06;1;B;0955;1125;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20074;DAEC;00600;Organizacion Industrial;A;45;06;1;B;0955;1125;18-08-2025;19-12-2025;;Y;;;;;;;;;
202520;20080;DAQU;00201;Quimica Para Fisica;A;35;02;1;D;1430;1600;18-08-2025;19-12-2025;;;;Y;;;;;;;
202520;20080;DAQU;00201;Quimica Para Fisica;A;35;02;1;D;1430;1600;18-08-2025;19-12-2025;Y;;;;;;;;;;
202520;20085;DAAD;00100;Introduccion a Administración;A;20;01;3;F;1800;1930;18-08-2025;19-12-2025;;Y;;;;;;;;;
